User ID,name,Gender,Age,EstimatedSalary,Purchased
10000,Holly Ruiz,Female,32,133029,0
10001,Jesus Gilbert,Female,40,62182,0
10002,Rodney Williams,Female,23,16699,1
10003,Steven Wright,Female,44,10851,0
10004,Brenda Blackwell,Male,52,54327,0
10005,Vincent Nguyen,Female,43,93982,1
10006,Michelle Clark,Female,28,112935,0
10007,Barbara Taylor,Female,42,120213,0
10008,Suzanne Lane,Male,33,76895,-1
10009,Jerry Rollins,Female,23,98273,1
10010,Richard Key,Male,49,13580,1
10011,Eric Hernandez,Male,46,44934,1
10012,Marcus Valencia,Male,22,119668,0
10013,Andrew Martinez,Female,58,27918,1
10014,Norman Diaz,Male,25,130431,1
10015,Marie Wilson,Female,45,143827,1
10016,Mandy Malone,Male,36,70672,1
10017,Gerald Fisher,Female,51,64087,0
10018,Kathleen Buchanan,Female,50,122859,1
10019,Jessica Chang,Female,39,117587,0
10020,Tammy Mendez,Male,24,111748,0
10021,Sarah Sparks,Female,31,80865,1
10022,Lisa Larsen,Female,52,101347,0
10023,Raymond Castro,Male,57,91532,1
10024,Daniel Anderson,Male,42,39063,1
10025,Kyle Patel,Male,22,63448,0
10026,Mark Peterson,Male,42,137490,1
10027,Brett Miller,Male,50,117422,1
10028,Douglas Salinas,Female,36,121412,1
10029,Jasmine Porter,Female,26,10873,1
10030,Carlos Porter,Male,25,72117,1
10031,Ryan Todd,Female,59,39272,0
10032,Lisa Garcia MD,Female,45,75351,1
10033,Shane Hanna,Male,55,58651,0
10034,Jacob Stone,Male,33,134495,-1
10035,Jason Moon,Male,41,30264,0
10036,Jennifer Rivas,Male,30,13605,0
10037,Todd Keller,Female,20,12509,0
10038,Gregory Smith,Female,24,28786,0
10039,Christine Heath,Female,43,131586,0
10040,Margaret Knight,Female,39,78774,1
10041,Mary Smith,Male,27,39847,1
10042,Monica Ross,Male,45,26017,1
10043,Nicholas Ferguson PhD,Female,29,82808,1
10044,Robert Bean,Male,43,8582,0
10045,Brittany Smith,Male,46,111997,0
10046,Alexander Snyder,Female,55,26940,1
10047,Robin Erickson,Male,25,146464,0
10048,Samuel Williams,Male,48,105993,1
10049,James Moreno,Female,27,140777,0
10050,Brenda Silva,Female,23,33347,0
10051,Natasha Villegas,Female,29,120023,-1
10052,Jamie Ortiz,Female,22,84395,1
10053,Megan Howard,Female,46,117225,0
10054,Susan Lowe,Male,35,144612,0
10055,Alicia Smith,Female,47,20865,-1
10056,Carl Castillo,Male,40,77102,1
10057,Dominique Garcia,Male,43,26592,0
10058,Latasha Garcia,Female,26,51993,0
10059,Rachel Bender,Male,34,44698,-1
10060,William Patterson,Male,46,54765,1
10061,James Dunlap,Male,36,32082,0
10062,Larry Brown,Male,36,133498,0
10063,Claire Walsh,Male,49,83091,1
10064,William Kirk,Male,44,37635,1
10065,Jeremy Myers,Female,53,36169,1
10066,Andrew Vega,Male,57,48996,1
10067,Richard Bennett,Female,50,65649,1
10068,Angela Brown,Female,52,64271,1
10069,Michael Williams,Male,47,149742,0
10070,Nicholas Pope,Female,27,25925,0
10071,Robin Bell,Female,56,142952,0
10072,Amber Green,Female,48,37753,0
10073,David Buchanan,Male,55,136189,0
10074,Heather Rodriguez,Male,34,101472,1
10075,Thomas Ford,Female,36,83712,1
10076,Eric Martinez,Male,31,125528,1
10077,David Patrick,Male,44,91043,0
10078,Curtis Lawrence,Female,24,97816,0
10079,Kelsey Cobb,Male,49,68945,1
10080,Mark Lane,Female,35,148584,1
10081,Trevor Perez,Male,26,113577,0
10082,Heather Jackson,Male,42,57565,-1
10083,Susan Powers,Male,37,148415,0
10084,Becky Levy,Female,26,136652,0
10085,Jared Black,Male,35,73452,0
10086,Ronald Cabrera,Female,49,119945,1
10087,Carol Ward,Female,47,46713,1
10088,Michael Glenn,Male,54,113873,1
10089,Carla Jones,Female,51,18895,0
10090,Samantha Silva,Female,36,132858,1
10091,Morgan Taylor,Male,44,94139,0
10092,Nathan Lawson,Male,55,96039,0
10093,Stephanie Gutierrez,Male,41,42685,0
10094,Christina Levine,Male,49,58955,1
10095,David Neal,Female,53,113843,1
10096,Rachel Thomas,Male,24,75444,0
10097,Caitlin Tanner,Female,49,78876,1
10098,William Ali,Male,47,69249,1
10099,Joseph Torres,Male,53,146816,1
10100,Amy King,Female,26,85693,1
10101,Elizabeth White,Male,23,116758,1
10102,Darryl Gutierrez,Female,38,93162,1
10103,David Caldwell,Female,52,148087,0
10104,Gerald Campbell,Female,34,64259,1
10105,Nicole Douglas,Male,24,39851,0
10106,Dr. Tara Perry,Female,50,141465,1
10107,Ellen Rodgers,Male,38,31464,1
10108,Amanda Morris,Male,20,136145,1
10109,Kurt Ortiz,Male,33,146226,1
10110,Rebecca Murray,Male,44,62120,0
10111,Christopher Knox,Male,28,60210,1
10112,Leonard Hinton,Female,29,53560,1
10113,Angela Werner,Female,47,121721,1
10114,Annette Jones,Female,28,39265,-1
10115,Brandon Kelly,Female,57,29166,1
10116,Joshua Nixon,Female,58,22008,1
10117,Karen Ramirez,Female,32,132823,-1
10118,Isabella Griffith,Male,26,144642,0
10119,Matthew Stafford,Female,46,44940,0
10120,Justin Reed,Male,21,26527,0
10121,Jose Mann,Male,26,128395,1
10122,Michelle Russell,Male,23,44047,0
10123,Teresa Frost,Male,52,98468,0
10124,Cody Gonzales,Female,22,25399,0
10125,Nicholas Miller,Female,26,99461,0
10126,Micheal Clarke,Female,28,141868,1
10127,Lori Klein,Male,32,141279,1
10128,James Delacruz,Male,51,43544,1
10129,Victoria Thomas,Male,32,38480,1
